kind	class	method	param	index	path	tool
FIELD	SevenZip.Compression.LZ.InWindow	nan	_stream	nan	urlbd77b745af_KokaKiwi_MCLauncher_tgz-pJ8-net_contrapunctus_lzma_BenchmarkJ8/src/SevenZip/Compression/LZ/InWindow.java	!nullgtn
FIELD	com.game.protobuf.GameProto	nan	internal_static_protobuf_Notice_fieldAccessorTable	nan	url7606378bcc_ljy2010a_protobuf2_tgz-pJ8-com_game_gameObj_bufBuilder_ReflectBuilderJ8/src/com/game/protobuf/GameProto.java	!nullgtn
PARAMETER	org.fressian.FressianWriter	writeAs(java.lang.String,java.lang.Object)	tag	0	url57668a8619_Datomic_fressian_tgz-pJ8-org_fressian_ExamplesJ8/src/org/fressian/FressianWriter.java	!nullgtn
PARAMETER	org.maltparser.core.symbol.trie.TrieSymbolTable	getSymbolStringToCode(java.lang.String)	symbol	0	url80e39b1957_tobikster_IJN_headers_recognition_tgz-pJ8-org_maltparser_examples_CreatePhraseStructureGraphJ8/src/org/maltparser/core/symbol/trie/TrieSymbolTable.java	!nullgtn
PARAMETER	org.json.CDL	rowToString(org.json.JSONArray)	ja	0	url24d793285d_auzll_gengweibo_tgz-pJ8-org_json_TestJ8/src/org/json/CDL.java	!nullgtn
METHOD	risiko.actions.util.actionAdapterFactory$1	caseRemovePlayer(risiko.actions.RemovePlayer)	nan	nan	url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionAdapterFactory.java	!nullgtn
PARAMETER	org.jgraph.graph.GraphLayoutCache	insert(java.lang.Object[],java.util.Map,org.jgraph.graph.ConnectionSet,org.jgraph.graph.ParentMap,javax.swing.undo.UndoableEdit[])	e	4	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/org/jgraph/graph/GraphLayoutCache.java	!nullgtn
FIELD	org.dclayer.net.link.control.idcollection.IdCollection	nan	idBoundary	nan	url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/net/link/control/idcollection/IdCollection.java	!wpi
FIELD	mythrift.Span	nan	binary_annotations	nan	url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java	!nullgtn
PARAMETER	net.xeoh.nexus.DefaultNexus	findService(java.util.concurrent.ConcurrentLinkedQueue,java.lang.Class,net.xeoh.nexus.options.Option[])	service	1	url5a01f2c1d9_core9_core_tgz-pJ8-io_core9_core_boot_BootstrapFrameworkJ8/src/net/xeoh/nexus/DefaultNexus.java	!nullgtn
METHOD	ch.thn.util.tree.onoff.core.AbstractGenericOnOffKeySetTreeNode	hideNode(boolean)	nan	nan	urld2fb1d2b05_thnaeff_Util_tgz-pJ8-ch_thn_util_tests_TreeTestJ8/src/ch/thn/util/tree/onoff/core/AbstractGenericOnOffKeySetTreeNode.java	!wpi
METHOD	org.ands.rifcs.base.RIFCSElement	getTextContent()	nan	nan	url39209c0557_au_research_ANDS_RIFCS_API_tgz-pJ8-org_ands_rifcs_example_SampleRIFCSBuildCollectionV1Dot6Number1J8/src/org/ands/rifcs/base/RIFCSElement.java	!annotator
PARAMETER	com.mxgraph.view.mxGraph	selectVertices(java.lang.Object)	parent	0	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/mxgraph/view/mxGraph.java	!nullgtn
PARAMETER	org.json.JSONArray	put(java.util.Collection)	value	0	url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/org/json/JSONArray.java	!nullgtn
FIELD	Lataaja.AsetustenTulostaja	nan	bw	nan	url78d0cbe382_TeeAaTeeUu_SitsiPlaseeraus_tgz-pJ8-sitsiplaseeraus_MainJ8/src/Lataaja/AsetustenTulostaja.java	!nullgtn
FIELD	com.jcraft.jzlib.StaticTree	nan	static_tree	nan	urlfeea716362_ymnk_jzlib_tgz-pJ8-test_large_deflate_inflateJ8/src/com/jcraft/jzlib/StaticTree.java	!nullgtn
FIELD	hipotetizador.EvaluacionTeoria	nan	fallos_entradas	nan	url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/EvaluacionTeoria.java	!nullgtn
FIELD	com.usps.evs.vo.SampleWorkAroundVO	nan	destRateIndicator	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/SampleWorkAroundVO.java	!nullgtn
PARAMETER	de.odysseus.el.samples.experimental.SyntaxExtension$1	apply(de.odysseus.el.misc.TypeConverter,java.lang.Object,java.lang.Object)	o2	2	url4fdf79ae2c_beckchr_juel_tgz-pJ8-de_odysseus_el_samples_xml_sax_XMELFilterJ8/src/de/odysseus/el/samples/experimental/SyntaxExtension.java	!nullgtn
PARAMETER	de.measite.minidns.Record$TYPE	TYPE(int,java.lang.Class)	dataClass	1	url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/Record.java	!nullgtn
PARAMETER	com.jgraph.example.fastgraph.FastGraphModel	edit(java.util.Map,org.jgraph.graph.ConnectionSet,org.jgraph.graph.ParentMap,javax.swing.undo.UndoableEdit[])	pm	2	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/jgraph/example/fastgraph/FastGraphModel.java	!nullgtn
FIELD	com.usps.evs.vo.ReRateIngredientVO	nan	mailingType	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/ReRateIngredientVO.java	!nullgtn
